Client Id,age,job,own.house,dependents,marital,gender,work.exp,education,default,balance,housing,loan,credit.score,contact,credit.history,day,month,duration,campaign,pdays,previous,poutcome,Y
12079,50,admin.,0,1,,M,19,secondary,no,363,yes,no,93,unknown,very good,16,may,1340,1,-1,0,unknown,1
12080,27,technician,0,0,single,F,10,tertiary,no,3706,yes,no,91,unknown,good,16,may,897,1,-1,0,unknown,1
12081,,management,1,2,single,M,15,tertiary,no,4393,yes,no,84,unknown,critical,16,may,1297,3,-1,0,unknown,1
12082,30,technician,0,1,single,F,11,secondary,no,863,yes,no,88,unknown,good,16,may,1193,5,-1,0,unknown,1
12083,,blue-collar,1,1,married,F,9,primary,no,695,yes,yes,,unknown,good,16,may,1064,4,-1,0,unknown,1
12084,37,management,0,3,single,M,14,secondary,no,792,yes,no,55,unknown,poor,16,may,1187,4,-1,0,unknown,1
12085,41,admin.,0,2,single,M,16,unknown,no,1020,yes,no,87,unknown,poor,19,may,882,1,-1,0,unknown,1
12086,47,blue-collar,0,3,married,M,16,secondary,no,863,yes,no,,unknown,good,19,may,943,2,-1,0,unknown,1
12087,31,blue-collar,0,2,married,F,16,secondary,no,754,yes,no,85,unknown,good,19,may,1022,4,-1,0,unknown,1
12088,43,services,1,1,divorced,M,15,secondary,no,1040,yes,no,48,unknown,very good,19,may,552,3,-1,0,unknown,1
12089,37,unknown,1,4,divorced,M,13,unknown,no,122,yes,no,96,unknown,very good,19,may,1622,2,-1,0,unknown,1
12090,30,technician,0,2,single,F,16,unknown,no,880,yes,yes,93,unknown,very good,19,may,967,6,-1,0,unknown,1
12091,35,blue-collar,0,3,divorced,F,8,secondary,no,0,yes,no,,unknown,critical,20,may,1205,1,-1,0,unknown,1
12092,,blue-collar,0,2,married,M,11,primary,no,102,yes,no,94,unknown,good,20,may,1334,1,-1,0,unknown,1
12093,31,blue-collar,1,0,married,F,3,secondary,no,2,yes,no,57,unknown,good,20,may,182,2,-1,0,unknown,1
12094,35,services,1,1,married,M,18,secondary,no,4170,yes,no,53,unknown,critical,20,may,1777,1,-1,0,unknown,1
12095,34,technician,1,2,single,M,17,secondary,no,85,yes,no,87,unknown,critical,20,may,1182,4,-1,0,unknown,1
12096,31,admin.,1,0,single,M,18,unknown,no,431,yes,yes,84,unknown,very good,20,may,1045,1,-1,0,unknown,1
12097,44,technician,1,2,divorced,M,10,secondary,no,982,yes,no,75,unknown,Poor,20,may,650,3,-1,0,unknown,1
12098,36,blue-collar,0,3,married,M,17,primary,no,408,yes,yes,89,unknown,Poor,20,may,1063,2,-1,0,unknown,1
12099,39,technician,1,3,single,M,17,secondary,no,1022,yes,no,94,unknown,good,20,may,1410,2,-1,0,unknown,1
12100,35,blue-collar,0,4,married,M,13,unknown,no,4822,yes,no,,unknown,critical,20,may,843,2,-1,0,unknown,1
12101,41,blue-collar,0,3,married,M,13,primary,no,1250,yes,no,94,unknown,critical,20,may,1392,2,-1,0,unknown,1
12102,,blue-collar,1,4,married,M,15,secondary,no,3311,yes,no,95,unknown,critical,20,may,719,1,-1,0,unknown,1
12103,31,blue-collar,1,1,single,M,14,unknown,no,216,yes,no,91,unknown,verygood,21,may,565,1,-1,0,unknown,1
12104,34,blue-collar,1,2,married,M,15,secondary,no,1207,yes,no,88,unknown,good,21,may,905,1,-1,0,unknown,1
12105,32,unknown,1,1,married,M,13,unknown,no,791,yes,no,61,unknown,very good,21,may,783,2,-1,0,unknown,1
12106,36,management,1,4,married,F,14,tertiary,no,849,yes,yes,93,unknown,very good,21,may,958,2,-1,0,unknown,1
12107,54,management,0,1,divorced,M,15,tertiary,no,487,yes,no,85,unknown,very good,21,may,828,4,-1,0,unknown,1
12108,36,blue-collar,1,1,married,M,13,primary,no,599,yes,no,61,unknown,very good,21,may,649,2,-1,0,unknown,1
12109,31,management,1,3,single,M,11,tertiary,no,825,yes,no,79,unknown,good,21,may,506,2,-1,0,unknown,1
12110,27,technician,0,0,married,F,11,secondary,no,2183,yes,yes,50,unknown,very good,21,may,857,1,-1,0,unknown,1
12111,34,retired,1,4,married,F,14,unknown,no,4499,no,no,52,unknown,poor,21,may,1681,1,-1,0,unknown,1
12112,32,services,0,4,,F,15,secondary,no,-198,yes,no,78,unknown,very good,21,may,681,3,-1,0,unknown,1
12113,30,technician,1,3,single,F,16,unknown,no,1289,yes,no,74,unknown,good,21,may,1697,2,-1,0,unknown,1
12114,,technician,0,2,single,M,16,secondary,no,3326,yes,no,95,unknown,critical,21,may,799,1,-1,0,unknown,1
12115,38,blue-collar,0,4,married,F,17,secondary,no,622,yes,no,86,unknown,critical,21,may,611,2,-1,0,unknown,1
12116,33,blue-collar,1,1,married,F,17,unknown,no,0,yes,no,88,unknown,Poor,21,may,521,3,-1,0,unknown,1
12117,35,blue-collar,1,2,married,F,15,primary,no,994,yes,no,84,unknown,very good,23,may,1349,8,-1,0,unknown,1
12118,30,blue-collar,0,0,married,M,3,secondary,no,278,yes,yes,96,unknown,critical,23,may,1073,1,-1,0,unknown,1
12119,34,blue-collar,1,3,married,M,12,secondary,no,2495,yes,no,86,unknown,very good,23,may,924,1,-1,0,unknown,1
12120,45,unknown,1,3,divorced,F,17,primary,no,-311,yes,no,,unknown,good,23,may,1030,1,-1,0,unknown,1
12121,45,admin.,1,3,,F,17,secondary,no,149,yes,no,52,unknown,critical,23,may,893,3,-1,0,unknown,1
12122,33,blue-collar,1,4,married,F,18,unknown,no,1464,yes,no,87,unknown,very good,23,may,588,3,-1,0,unknown,1
12123,33,blue-collar,0,4,divorced,M,17,secondary,no,3546,yes,no,85,unknown,verygood,23,may,777,2,-1,0,unknown,1
12124,44,management,0,3,divorced,F,18,tertiary,no,5773,no,no,93,unknown,very good,23,may,597,6,-1,0,unknown,1
12125,,blue-collar,0,2,married,F,14,secondary,no,2910,yes,no,93,unknown,Poor,23,may,1392,2,-1,0,unknown,1
12126,30,technician,1,2,married,F,14,tertiary,no,541,yes,no,59,unknown,critical,26,may,414,2,-1,0,unknown,1
12127,44,unknown,0,4,divorced,M,14,secondary,no,1262,yes,no,,unknown,good,26,may,788,11,-1,0,unknown,1
12128,34,unknown,0,0,married,M,14,secondary,no,-538,yes,no,91,unknown,very good,26,may,682,1,-1,0,unknown,1
12129,31,admin.,0,2,single,M,8,secondary,no,747,yes,no,93,unknown,very good,26,may,543,2,-1,0,unknown,1
12130,37,blue-collar,0,1,married,F,18,secondary,no,125,no,no,91,unknown,good,26,may,679,2,-1,0,unknown,1
12131,28,self-employed,1,1,,M,3,tertiary,no,0,yes,no,83,unknown,good,26,may,1560,2,-1,0,unknown,1
12132,32,admin.,1,1,single,M,11,secondary,no,620,yes,no,87,unknown,very good,26,may,1234,3,-1,0,unknown,1
12133,38,admin.,0,3,,M,0,secondary,no,198,yes,no,93,unknown,critical,26,may,431,2,-1,0,unknown,1
12134,31,management,1,4,divorced,M,12,tertiary,no,1145,yes,no,93,unknown,good,26,may,1272,4,-1,0,unknown,1
12135,30,services,1,2,married,F,5,secondary,no,129,yes,no,92,unknown,good,26,may,1446,7,-1,0,unknown,1
12136,30,admin.,1,1,married,F,3,secondary,no,1265,yes,yes,88,unknown,Poor,26,may,414,2,-1,0,unknown,1
12137,59,services,1,0,married,F,13,secondary,no,-22,yes,no,94,unknown,critical,26,may,748,3,-1,0,unknown,1
12138,26,services,0,3,single,F,13,secondary,no,901,yes,no,81,unknown,critical,26,may,764,2,-1,0,unknown,1
12139,59,retired,0,2,single,M,2,secondary,no,351,yes,no,94,unknown,good,27,may,1063,5,-1,0,unknown,1
12140,28,management,0,3,single,M,12,tertiary,no,939,yes,no,86,unknown,verygood,27,may,740,1,-1,0,unknown,1
12141,37,admin.,0,1,married,F,19,secondary,no,274,yes,no,88,unknown,very good,27,may,731,3,-1,0,unknown,1
12142,,services,1,0,divorced,M,13,secondary,no,51,yes,yes,84,unknown,verygood,27,may,3094,2,-1,0,unknown,1
12143,29,management,0,0,married,M,15,tertiary,no,314,no,no,84,unknown,critical,28,may,938,2,-1,0,unknown,1
12144,26,unknown,0,1,single,M,15,secondary,no,668,yes,no,95,unknown,very good,28,may,576,3,-1,0,unknown,1
12145,27,services,1,3,single,F,17,secondary,no,54,yes,no,86,unknown,good,28,may,543,2,-1,0,unknown,1
12146,25,self-employed,1,2,single,F,10,secondary,no,1242,yes,no,81,unknown,good,28,may,615,2,-1,0,unknown,1
12147,23,services,1,4,single,F,4,unknown,no,665,yes,no,94,unknown,poor,28,may,1183,1,-1,0,unknown,1
12148,27,blue-collar,0,3,single,M,13,secondary,no,294,yes,yes,50,unknown,good,28,may,694,2,-1,0,unknown,1
12149,23,technician,1,2,,M,14,tertiary,no,1129,yes,no,81,unknown,good,28,may,806,1,-1,0,unknown,1
12150,46,technician,1,3,married,M,13,secondary,no,57,no,no,84,unknown,verygood,28,may,796,1,-1,0,unknown,1
12151,23,student,1,0,single,M,14,unknown,no,854,yes,no,,unknown,very good,28,may,664,2,-1,0,unknown,1
12152,28,student,1,4,single,M,13,secondary,no,949,yes,no,88,unknown,good,28,may,1730,1,-1,0,unknown,1
12153,51,entrepreneur,1,0,married,F,13,unknown,no,606,yes,no,85,unknown,good,28,may,560,9,-1,0,unknown,1
12154,27,blue-collar,0,1,single,F,11,secondary,no,2486,yes,no,94,unknown,very good,29,may,733,1,-1,0,unknown,1
12155,45,unemployed,0,0,divorced,M,5,secondary,no,3354,yes,no,,unknown,poor,29,may,746,1,-1,0,unknown,1
12156,56,technician,0,2,married,F,13,secondary,no,589,yes,no,88,unknown,poor,29,may,535,2,-1,0,unknown,1
12157,33,blue-collar,0,2,single,F,14,primary,no,127,yes,no,,unknown,good,29,may,1059,2,-1,0,unknown,1
12158,27,management,1,1,single,M,13,tertiary,no,12956,yes,no,88,unknown,good,29,may,789,3,-1,0,unknown,1
12159,45,blue-collar,1,3,divorced,F,11,primary,no,594,yes,no,85,unknown,poor,29,may,833,2,-1,0,unknown,1
12160,38,management,0,2,,M,12,tertiary,no,4692,yes,no,93,unknown,critical,29,may,1363,2,-1,0,unknown,1
12161,36,unknown,1,4,single,F,16,unknown,no,7606,yes,no,85,unknown,critical,30,may,917,1,-1,0,unknown,1
12162,38,technician,0,2,married,F,5,secondary,no,226,yes,no,87,unknown,critical,30,may,762,3,-1,0,unknown,1
12163,36,blue-collar,0,1,single,M,14,secondary,no,366,yes,yes,,unknown,very good,30,may,1133,2,-1,0,unknown,1
12164,37,management,0,2,,F,16,secondary,no,16,yes,no,82,unknown,very good,30,may,638,1,-1,0,unknown,1
12165,48,technician,0,0,married,M,14,unknown,yes,0,no,no,82,unknown,good,30,may,682,1,-1,0,unknown,1
12166,40,unknown,1,4,married,F,12,primary,no,1082,yes,no,89,unknown,verygood,30,may,854,2,-1,0,unknown,1
12167,42,unemployed,0,2,divorced,M,12,secondary,no,1713,yes,no,91,unknown,critical,30,may,855,2,-1,0,unknown,1
12168,46,management,0,4,divorced,M,13,tertiary,no,14481,yes,no,89,unknown,very good,30,may,1269,1,-1,0,unknown,1
12169,35,technician,0,0,divorced,M,10,secondary,no,5724,yes,no,90,unknown,critical,30,may,691,10,-1,0,unknown,1
12170,34,unknown,1,1,divorced,F,15,secondary,no,1451,yes,no,83,unknown,critical,30,may,1097,15,-1,0,unknown,1
12171,29,self-employed,1,4,single,M,15,tertiary,no,121,yes,no,93,unknown,good,30,may,1500,2,-1,0,unknown,1
12172,35,blue-collar,0,3,married,M,13,secondary,no,698,yes,yes,94,unknown,very good,30,may,1343,3,-1,0,unknown,1
12173,36,unknown,0,4,single,F,18,secondary,no,4136,yes,no,53,unknown,good,30,may,812,3,-1,0,unknown,1
12174,53,unknown,0,0,divorced,M,8,primary,no,2656,yes,no,84,unknown,good,30,may,1980,2,-1,0,unknown,1
12175,,unknown,1,2,single,F,14,secondary,no,562,yes,no,95,unknown,very good,30,may,722,3,-1,0,unknown,1
12176,46,management,1,0,single,M,11,tertiary,no,2904,yes,no,94,unknown,Poor,30,may,984,2,-1,0,unknown,1
12177,26,unknown,0,3,single,F,17,tertiary,no,1004,yes,no,87,unknown,very good,30,may,228,2,-1,0,unknown,1
12178,45,technician,0,3,single,M,11,secondary,no,410,yes,no,,unknown,critical,30,may,891,4,-1,0,unknown,1
12179,31,unemployed,1,3,divorced,F,15,primary,no,0,yes,no,82,unknown,good,30,may,745,12,-1,0,unknown,1
12180,29,management,1,3,single,F,11,unknown,no,0,yes,no,88,unknown,very good,30,may,539,12,-1,0,unknown,1
12181,39,management,1,4,married,F,13,tertiary,no,2763,yes,no,82,unknown,poor,2,jun,526,2,-1,0,unknown,1
12182,41,blue-collar,1,0,married,M,18,primary,no,143,yes,yes,85,unknown,very good,2,jun,659,2,-1,0,unknown,1
12183,36,services,0,2,married,M,14,primary,no,0,yes,no,85,unknown,very good,2,jun,1036,1,-1,0,unknown,1
12184,35,services,0,3,married,M,18,secondary,no,152,yes,no,93,unknown,critical,2,jun,563,1,-1,0,unknown,1
12185,36,management,0,2,single,M,17,tertiary,no,-78,yes,no,84,unknown,very good,2,jun,1068,1,-1,0,unknown,1
12186,,management,0,4,married,M,11,tertiary,no,867,yes,no,87,unknown,good,2,jun,230,3,-1,0,unknown,1
12187,30,blue-collar,0,4,single,M,16,secondary,no,953,yes,no,90,unknown,critical,2,jun,747,2,-1,0,unknown,1
12188,42,blue-collar,0,2,married,F,17,unknown,no,443,yes,no,94,unknown,good,2,jun,671,5,-1,0,unknown,1
12189,32,blue-collar,1,3,married,M,9,primary,no,415,yes,no,93,unknown,poor,2,jun,777,4,-1,0,unknown,1
12190,32,technician,1,4,single,M,14,secondary,no,1279,yes,no,94,unknown,good,3,jun,1173,3,-1,0,unknown,1
12191,31,unemployed,1,3,married,M,13,secondary,no,86,yes,yes,79,unknown,very good,3,jun,963,2,-1,0,unknown,1
12192,27,management,1,2,,F,13,secondary,no,178,yes,no,74,unknown,verygood,3,jun,732,2,-1,0,unknown,1
12193,37,unknown,0,3,single,M,14,unknown,no,278,yes,no,88,unknown,very good,3,jun,1045,3,-1,0,unknown,1
12194,23,services,1,2,single,M,18,secondary,no,425,yes,no,96,unknown,verygood,3,jun,768,1,-1,0,unknown,1
12195,25,management,0,4,married,F,18,primary,no,168,yes,no,85,unknown,good,3,jun,801,1,-1,0,unknown,1
12196,47,blue-collar,1,2,divorced,F,8,unknown,no,126,yes,no,78,unknown,good,3,jun,2456,2,-1,0,unknown,1
12197,45,services,0,0,single,F,12,primary,no,1893,yes,no,86,unknown,critical,3,jun,1259,6,-1,0,unknown,1
12198,32,technician,0,0,single,F,14,tertiary,no,6281,yes,no,,unknown,critical,3,jun,1336,4,-1,0,unknown,1
12199,24,blue-collar,1,4,married,M,15,secondary,no,-389,yes,yes,90,unknown,very good,4,jun,1242,1,-1,0,unknown,1
12200,33,blue-collar,1,4,single,F,11,secondary,no,76,yes,no,91,unknown,good,4,jun,1141,4,-1,0,unknown,1
12201,23,blue-collar,1,1,single,M,17,secondary,no,492,yes,no,94,unknown,critical,4,jun,638,1,-1,0,unknown,1
12202,27,management,1,3,single,F,12,tertiary,no,99,yes,no,,unknown,very good,4,jun,767,2,-1,0,unknown,1
12203,30,self-employed,0,3,,M,14,tertiary,no,543,yes,yes,93,unknown,very good,4,jun,1449,6,-1,0,unknown,1
12204,,admin.,1,1,divorced,F,3,secondary,no,437,yes,no,50,unknown,good,4,jun,908,1,-1,0,unknown,1
12205,59,retired,1,3,divorced,M,15,primary,no,-88,yes,no,88,unknown,poor,5,jun,910,2,-1,0,unknown,1
12206,58,entrepreneur,1,4,married,M,14,tertiary,no,853,no,no,90,unknown,good,5,jun,1149,2,-1,0,unknown,1
12207,,management,1,0,single,M,16,unknown,no,240,no,no,94,unknown,very good,5,jun,1123,1,-1,0,unknown,1
12208,46,admin.,0,0,single,F,12,secondary,no,849,yes,no,90,unknown,poor,5,jun,508,2,-1,0,unknown,1
12209,43,unknown,0,2,,F,10,secondary,no,318,yes,no,84,unknown,very good,5,jun,736,2,-1,0,unknown,1
12210,38,services,0,4,divorced,F,12,unknown,no,61,no,no,81,unknown,critical,5,jun,636,1,-1,0,unknown,1
12211,53,housemaid,0,0,married,F,15,primary,no,104,no,yes,49,unknown,poor,5,jun,701,1,-1,0,unknown,1
12212,56,housemaid,0,0,divorced,M,17,primary,yes,1238,no,no,53,unknown,good,5,jun,1558,1,-1,0,unknown,1
12213,41,housemaid,1,4,married,F,12,secondary,no,879,no,no,96,unknown,very good,5,jun,1053,2,-1,0,unknown,1
12214,45,blue-collar,1,2,divorced,M,12,primary,no,844,no,no,57,unknown,critical,5,jun,1018,3,-1,0,unknown,1
12215,39,self-employed,0,4,married,F,18,tertiary,no,1047,no,no,91,unknown,good,6,jun,554,1,-1,0,unknown,1
12216,26,technician,0,2,single,M,12,secondary,no,639,yes,no,,unknown,good,6,jun,709,5,-1,0,unknown,1
12217,26,admin.,0,3,married,M,17,secondary,no,710,yes,yes,94,unknown,very good,6,jun,1276,2,-1,0,unknown,1
12218,30,admin.,1,2,single,F,15,secondary,no,223,yes,no,94,unknown,critical,6,jun,862,11,-1,0,unknown,1
12219,38,management,0,0,single,F,13,tertiary,no,619,yes,no,84,unknown,poor,6,jun,460,4,-1,0,unknown,1
12220,28,technician,0,2,single,F,8,unknown,yes,-1042,yes,no,88,unknown,good,6,jun,712,2,-1,0,unknown,1
12221,54,self-employed,1,3,divorced,M,2,primary,no,351,yes,no,89,unknown,critical,6,jun,642,2,-1,0,unknown,1
12222,41,blue-collar,0,4,married,F,13,unknown,no,1461,yes,no,86,unknown,good,6,jun,554,2,-1,0,unknown,1
12223,37,services,0,3,divorced,F,12,secondary,no,319,yes,no,51,unknown,good,6,jun,467,3,-1,0,unknown,1
12224,53,technician,0,1,married,F,16,secondary,no,480,no,no,95,unknown,critical,6,jun,648,2,-1,0,unknown,1
12225,35,management,0,0,single,M,13,tertiary,no,68,no,no,90,unknown,critical,6,jun,1085,1,-1,0,unknown,1
12226,47,admin.,0,3,divorced,F,14,unknown,no,295,yes,no,88,unknown,critical,6,jun,94,2,-1,0,unknown,1
12227,28,blue-collar,1,4,married,F,10,secondary,no,2788,yes,no,81,unknown,good,6,jun,369,2,-1,0,unknown,1
